Assembly No,Assembly Name,Panchayat (मुख्य शहर/ गाँव),Booth No,Booth Name,Total voters,Male voters,Female voters
72,सिंहेश्वर,सिहपुर,267,"प्रोजेक्ट कन्या उच्च विद्यालय, कुमारखंड अवस्थित सिंहपुर, गढिया, वायाँ भाग पूरब",770,409,361
72,सिंहेश्वर,सिहपुर,268,"प्रोजेक्ट कन्या उच्च विद्यालय कुमारखण्ड, अवस्थित सिंहपुर गढिया,",710,328,382
72,सिंहेश्वर,सिहपुर,269,"मध्य विद्यालय, गुड़िया, दायाँ भाग",899,477,422
72,सिंहेश्वर,बुढावे,27,उत्क्रमित मध्य विद्यालय बुढ़ावे बायाँ भाग उत्तर,1082,542,540
72,सिंहेश्वर,सिहपुर,270,"मध्य विद्यालय, गुड़िया, बायाँ भाग",926,472,454
72,सिंहेश्वर,सिक्राहट्टी,271,"उत्क्रमित मध्य विद्यालय, सिकरहटी दाया भाग",1104,583,521
72,सिंहेश्वर,सिक्राहट्टी,272,"उत्क्रमित मध्य विद्यालय, सिकरहटी, बायां भाग",1108,504,604
72,सिंहेश्वर,कुमारखंड,273,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रघुनियाँ, दायाँ भाग",1005,533,472
72,सिंहेश्वर,कुमारखंड,274,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रघुनियाँ, मध्य भाग",1032,526,506
72,सिंहेश्वर,कुमारखंड,275,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रघुनियाँ, बायाँ भाग",1078,576,502
72,सिंहेश्वर,कुमारखंड,276,"मध्य विद्यालय, रामगंज, दायां भाग",790,393,397
72,सिंहेश्वर,कुमारखंड,277,"मध्य विद्यालय, रामगंज, बाया भाग",787,412,375
72,सिंहेश्वर,कुमारखंड,278,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड दायाँ भाग पूरब",808,435,373
72,सिंहेश्वर,कुमारखंड,279,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड मध्य भाग",705,359,346
72,सिंहेश्वर,बुढावे,28,"उत्क्रमित मध्य विद्यालय, बुढावे दायाँ भाग",1033,547,486
72,सिंहेश्वर,कुमारखंड,280,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड मध्य भाग उत्तर",743,373,370
72,सिंहेश्वर,कुमारखंड,281,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड बायाँ भाग",979,515,464
72,सिंहेश्वर,श्रीपुर मिलिक,282,"नवसृजित प्राथमिक विद्यालय, यादव टोला भतनी, दाँया भाग",850,452,398
72,सिंहेश्वर,श्रीपुर मिलिक,283,"नवसृजित प्राथमिक विद्यालय, यादव टोला भतनी, बॉया भाग",1001,529,472
72,सिंहेश्वर,बरहकुरवा,284,"उत्क्रमित कन्या मध्य विद्यालय, बरहकुरवा दाया भाग",1115,591,524
72,सिंहेश्वर,श्रीपुर मिलिक,285,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, बरहकुरवा, दाया",684,348,336
72,सिंहेश्वर,श्रीपुर मिलिक,286,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, बरहकुरवा, बाया",692,368,324
72,सिंहेश्वर,श्रीपुर मिलिक,287,"उत्क्रमित मध्य विद्यालय, टेंगराहा पूर्व भाग",765,402,363
72,सिंहेश्वर,श्रीपुर मिलिक,288,"उत्क्रमित मध्य विद्यालय, सिकियाहा दाया भाग",695,367,328
72,सिंहेश्वर,श्रीपुर मिलिक,289,"उत्क्रमित मध्य विद्यालय, सिकियाहा बायाँ भाग",693,366,327
72,सिंहेश्वर,सिंगयोन,29,"मध्य विद्यालय, सिंगियोन दायाँ भाग",615,319,296
72,सिंहेश्वर,श्रीपुर मिलिक,290,"उत्क्रमित मध्य विद्यालय, भोकराहा, दायां भाग",869,454,415
72,सिंहेश्वर,श्रीपुर मिलिक,291,"उत्क्रमित मध्य विद्यालय, भोकराहा, बायां भाग",923,464,459
72,सिंहेश्वर,श्रीपुर,292,"उत्क्रमित मध्य विद्यालय, परिहारी वायाँ भाग",1018,516,502
72,सिंहेश्वर,श्रीपुर,293,"उत्क्रमित मध्य विद्यालय परिहारी, दायाँ भाग",1043,563,480
72,सिंहेश्वर,श्रीपुर,294,"उत्क्रमित उच्च विद्यालय, टेंगराहा, पश्चिम, पश्चिम भाग",867,478,389
72,सिंहेश्वर,श्रीपुर,295,"उत्क्रमित उच्च विद्यालय, टेंगराहा, पश्चिम, पूर्व भाग",784,425,359
72,सिंहेश्वर,श्रीपुर,296,"उत्क्रमित उच्च विद्यालय, टेंगराहा, पश्चिम, मध्य भाग",783,391,392
72,सिंहेश्वर,श्रीपुर,297,"उत्क्रमित मध्य विद्यालय, दमगाड़ा, दायां भाग",780,426,354
72,सिंहेश्वर,श्रीपुर,298,"उत्क्रमित मध्य विद्यालय, दमगाड़ा, बाया भाग",859,428,431
72,सिंहेश्वर,श्रीपुर,299,"उत्क्रमित मध्य विद्यालय, हिरराहा वायाँ भाग उत्तर",1101,593,508
72,सिंहेश्वर,जलुआर,3,"उत्क्रमित मध्य विद्यालय, जलुआर, उत्तर भाग बायां",1144,560,584
72,सिंहेश्वर,सिंगयोन,30,"मध्य विद्यालय, सिंगियोन बायाँ भाग",618,322,296
72,सिंहेश्वर,श्रीपुर,300,"उत्क्रमित मध्य विद्यालय, हिरराहा दायाँ भाग पश्चिम",1102,576,526
72,सिंहेश्वर,रौता,301,"कामेश्वर उत्क्रमित उच्च माध्यमिक विद्यालय, रौता उत्तर भाग",916,500,416
72,सिंहेश्वर,रौता,302,"कामेश्वर उत्क्रमित उच्चतर माध्यमिक विद्यालय, रौता दक्षिण भाग",948,493,455
72,सिंहेश्वर,रौता,303,"कामेश्वर उत्क्रमित उच्चतर माध्यमिक विद्यालय, रौता मध्य भाग",852,437,415
72,सिंहेश्वर,रौता,304,"देव नारायण मध्य विद्यालय, हरिवोला, बायां भाग",904,460,444
72,सिंहेश्वर,रौता,305,"देव नारायण मध्य विद्यालय, हरिवोला, मध्य भाग",864,453,411
72,सिंहेश्वर,रौता,306,"देव नारायण मध्य विद्यालय, हरिबोला, दायां भाग बायां",1116,579,537
72,सिंहेश्वर,रौता,307,"उत्क्रांमित मध्य विद्यालय, मछहा, पूर्व",894,474,420
72,सिंहेश्वर,रौता,308,"मध्य विद्यालय, गोपालपुर",1042,537,505
72,सिंहेश्वर,सुखासन,309,"यदुनंदन मध्य विद्यालय, रानीपट्टी, बांया भाग उत्तर",608,323,285
72,सिंहेश्वर,रुपौली,31,"मध्य विद्यालय, रूपौली, दायाँ भाग",946,486,460
72,सिंहेश्वर,सुखासन,310,"यदुनंदन मध्य विद्यालय, रानीपट्टी, बांया भाग दक्षिण",638,349,289
72,सिंहेश्वर,सुखासन,311,"यदुनन्दन मध्य विद्यालय, रानीपट्टी, दांया भाग पूरब",1099,584,515
72,सिंहेश्वर,सुखासन डाकघर: रानीपट्टी सुखासन पुलिस स्टेशन: कुमारखंड तहसील: कुमारखंड जिला: मधेपुरा पिन कोड:,312,"देवनारायण उच्च माध्यमिक विद्यालय, रानीपट्टी, दायाँ भाग",987,524,463
72,सिंहेश्वर,सुखासन,313,"देवनारायण उच्च माध्यमिक विद्यालय, रानीपट्टी, वायाँ भाग, पूरब",1016,507,509
72,सिंहेश्वर,सुखासन,314,"मध्य विद्यालय, सुखासन, वायां भाग",1072,579,493
72,सिंहेश्वर,सुखासन,315,"मध्य विद्यालय सुखासन, मध्य भाग",971,517,454
72,सिंहेश्वर,सुखासन,316,"मध्य विद्यालय, सुखासन, दायां भाग दक्षिण",991,526,465
72,सिंहेश्वर,बेलाडी,317,"सोनाय मध्य विद्यालय, बेलारी, दक्षिण भाग पश्चिम",763,411,352
72,सिंहेश्वर,बेलाडी,318,"सोनाय मध्य विद्यालय, बेलारी, दक्षिण भाग पूरब",822,430,392
72,सिंहेश्वर,बेलाडी,319,"सोनाय मध्य विद्यालय, बेलारी, उत्तर भाग",635,343,292
72,सिंहेश्वर,रुपौली,32,"मध्य विद्यालय, रूपौली, बायां भाग",1023,510,513
72,सिंहेश्वर,बेलाडी,320,"सोनाय मध्य विद्यालय, बेलारी, मध्य भाग",798,420,378
72,सिंहेश्वर,बेलाडी,321,"उत्क्रमित मध्य विद्यालय, कुशहा, बायाँ भाग",802,424,378
72,सिंहेश्वर,बेलाडी,322,"उत्क्रमित मध्य विद्यालय, कुशहा, दायाँ भाग",755,398,357
72,सिंहेश्वर,बेलाडी,323,"मध्य विद्यालय, रामपट्टी",943,519,424
72,सिंहेश्वर,बिशनपुर कोड्रलाही,324,"उत्क्रांमित मध्य विद्यालय, कोडलाही दाया भाग",1134,618,516
72,सिंहेश्वर,बिशनपुर कोड्रलाही,325,"मध्य विद्यालय, शिवनगर जमुआहा, बायाँ भाग उत्तर",794,430,364
72,सिंहेश्वर,बिशनपुर कोड्रलाही,326,"मध्य विद्यालय, शिवनगर जमुआहा, दायां भाग पश्चिम",859,460,399
72,सिंहेश्वर,बिशनपुर कोड्रलाही,327,"मध्य विद्यालय, शिवनगर जमुआहा, मध्य भाग उत्तर",795,439,356
72,सिंहेश्वर,बिशनपुर कोड्रलाही,328,"उत्क्रमित मध्य विद्यालय, शिवनगर पडरिया दाया भाग",545,292,253
72,सिंहेश्वर,बिशनपुर कोड्रलाही,329,"उत्क्रमित मध्य विद्यालय, शिवनगर पड़रिया बायाँ भाग",486,256,230
72,सिंहेश्वर,रुपौली,33,"उत्क्रमित मध्य विद्यालय, केटावन",860,445,415
72,सिंहेश्वर,रहटा,330,"सितावी मध्य विदालय, रहटा, दायाँ भाग",750,396,354
72,सिंहेश्वर,रहटा,331,"सितावी मध्य विद्यालय, रहटा, बायां भाग",833,409,424
72,सिंहेश्वर,रहटा,332,"पंचायत भवन, रहटा, बांया भाग",1027,545,482
72,सिंहेश्वर,भवानीपुर,333,"पंचायत भवन, रहटा, दांया भाग पूरब",960,506,454
72,सिंहेश्वर,रहटा,334,"उत्क्रमित मध्य विद्यालय, रहटा, बायाँ भाग",1021,532,489
72,सिंहेश्वर,रहटा,335,"उत्क्रमित मध्य विद्यालय, रहटा, दायाँ भाग",1051,557,494
72,सिंहेश्वर,रहटा,336,"उत्क्रमित मध्य विद्यालय, भवानीपुर बायाँ भाग",766,382,384
72,सिंहेश्वर,रहटा,337,"उत्क्रमित मध्य विद्यालय, भवानीपुर दायाँ भाग",761,421,340
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,338,"उत्क्रमित मध्य विद्यालय, छर्रापट्टी, दायां भाग",720,375,345
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,339,"उत्क्रमित मध्य विद्यालय, छर्रापट्टी, बायां भाग",726,383,343
72,सिंहेश्वर,सतोखर,34,"उत्क्रमित मध्य विद्यालय, सतोखर, बायाँ भाग",1047,567,480
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,340,"उत्क्रमित उच्च विद्यालय, केवटगामा, बायाँ भाग",997,520,477
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,341,"उत्क्रमित उच्च विद्यालय, केवटगामा, दायाँ भाग",881,466,415
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,342,"उत्क्रमित उच्च विद्यालय, केवटगामा, मध्य भाग",982,517,465
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,343,"उत्क्रमित मध्य विद्यालय, लक्ष्मीपुर मिलिक, दायाँ भाग पूरब",1054,543,511
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,344,"उत्क्रमित मध्य विद्यालय, लक्ष्मीपुर मिलिक, वायों भाग",1061,566,495
72,सिंहेश्वर,लक्ष्मीपुर चंडीस्थान,345,"उत्क्रमित मध्य विद्यालय, लक्ष्मीपुर चंडीस्थान, दायाँ भाग",1062,575,487
72,सिंहेश्वर,लक्ष्मीपुर मिलिक,346,"उत्क्रमित मध्य विद्यालय, लक्ष्मीपुर चण्डीस्थान, बॉया भाग",1067,553,514
72,सिंहेश्वर,इसराईन खुर्द,347,"दुनिलाल मंडल उत्क्रमित मध्य विद्यालय, ईसराईन खुर्द दायाँ भाग",724,388,336
72,सिंहेश्वर,इसराईन खुर्द,348,"दुनिलाल मंडल उत्क्रमित मध्य विद्यालय, ईसराईन खुर्द बायाँ भाग",685,357,328
72,सिंहेश्वर,इसराईन खुर्द,349,"उर्दू प्राथमिक विद्यालय, यदुवापट्टी वायाँ भाग",805,443,362
72,सिंहेश्वर,रुपौली,35,"उत्क्रमित मध्य विद्यालय, सतोखर, दायाँ भाग",1085,560,525
72,सिंहेश्वर,इसराईन खुर्द,350,"उर्दू प्राथमिक विद्यालय, यदुआपट्टी, दाँया भाग पूरब",1084,574,510
72,सिंहेश्वर,इसराईन खुर्द,351,"दुर्गा मध्य विद्यालय, यदुआपट्टी, बॉया भाग पूरब",1030,560,470
72,सिंहेश्वर,इसराईन खुर्द,352,"दूर्गा मध्य विद्यालय, यदुआपट्टी, दाँया भाग",1032,558,474
72,सिंहेश्वर,इसराईन खुर्द,353,"पंचायत भवन, ईसराईन खुर्द, दायां भाग",659,364,295
72,सिंहेश्वर,इसराईन खुर्द,354,"पंचायत भवन, ईसराईन खुर्द, बायां भाग",728,401,327
72,सिंहेश्वर,इसराईन कला,355,"नवसृजित प्राथमिक विद्यालय, मधेली टोला दायाँ भाग",606,317,289
72,सिंहेश्वर,इसराईन कला,356,"नवसृजित प्राथमिक विद्यालय, मधेली टोला बायां भाग",642,353,289
72,सिंहेश्वर,इसराईन कला,357,"उत्क्रमित उच्च विद्यालय, इसराईन गोठ, बायाँ भाग",1036,546,490
72,सिंहेश्वर,इसराईन कला,358,"उत्क्रमित उच्च विद्यालय, इसराईन गोठ, दायाँ भाग",823,438,385
72,सिंहेश्वर,जोरावरगंज,359,"उत्क्रमित मध्य विद्यालय, जोरावरगंज (हिन्दी) पश्चिम भाग",911,484,427
72,सिंहेश्वर,रुपौली,36,"राजकीय बुनियादी विद्यालय, कटैया दायाँ भाग",658,337,321
72,सिंहेश्वर,जोरावरगंज,360,"उत्क्रमित मध्य विद्यालय, जोरावरगंज (हिन्दी) मध्य भाग",1157,584,573
72,सिंहेश्वर,जोरावरगंज,361,"उत्क्रमित मध्य विद्यालय, जोरावरगंज (हिन्दी) पूरब भाग",846,459,387
72,सिंहेश्वर,जोरावरगंज,362,"उत्क्रमित मध्य विद्यालय, जोरावगंज (हिन्दी) पश्चिम भाग",754,413,341
72,सिंहेश्वर,बैसाढ,363,"मध्य विद्यालय, भैरोपुर, दायाँ भाग",597,329,268
72,सिंहेश्वर,बैसाढ,364,"मध्य विद्यालय, भैरोपुर, बॉया भाग",1004,541,463
72,सिंहेश्वर,बैसाढ,365,"मध्य विद्यालय, बैसाढ, बॉया भाग उत्तर",1062,577,485
72,सिंहेश्वर,बैसाढ,366,"मध्य विद्यालय, बैसाढ, दाँया भाग पूरब",1044,529,514
72,सिंहेश्वर,बैसाढ,367,"मध्य विद्यालय, बैसाढ, दाँया भाग पश्चिम",855,437,418
72,सिंहेश्वर,बैसाढ,368,"दरवारी मध्य विद्यालय, करूवैली, उत्तर भाग",1062,534,528
72,सिंहेश्वर,बैसाढ,369,"दरवारी मध्य विद्यालय, करूवैली, मध्य भाग",1035,549,486
72,सिंहेश्वर,रुपौली,37,"राजकीय बुनियादी विद्यालय, कटैया बायाँ भाग",638,346,292
72,सिंहेश्वर,बैसाढ,370,"दरवारी मध्य विद्यालय, करूवैली, दक्षिण भाग पूरब",1063,551,511
72,सिंहेश्वर,बैसाढ,371,"उत्क्रमित मध्य विद्यालय, परमेश्वरी टोला, बैसाढ दाया भाग",1169,597,572
72,सिंहेश्वर,रुपौली,38,"मध्य विद्यालय, लरहा",1122,596,526
72,सिंहेश्वर,भवानीपुर,39,"पंचयात भवन भवानीपुर, दायां भाग",950,482,468
72,सिंहेश्वर,जलुआर,4,"उत्क्रमित मध्य विद्यालय, जलुआर, दक्षिण भाग",1146,591,555
72,सिंहेश्वर,भवानीपुर,40,"पंचयात भवन भवानीपुर, बायां भाग",965,500,465
72,सिंहेश्वर,भवानीपुर,41,"मध्य विद्यालय, भवानीपुर बाया भाग",749,387,362
72,सिंहेश्वर,भवानीपुर,42,"मध्य विद्यालय, भवानीपुर दाया भाग",710,374,336
72,सिंहेश्वर,लालपट्टी,43,"उत्क्रमित मध्य विद्यालय, लालपट्टी",1092,565,527
72,सिंहेश्वर,लालपट्टी,44,"प्राथमिक शिक्षक शिक्षा महाविद्यालय सुखासन मनहरा, मध्य भाग",1010,517,493
72,सिंहेश्वर,लालपट्टी,45,"प्राथमिक शिक्षक शिक्षा महाविद्यालय सुखासन मनहरा, दायाँ भाग",1029,534,495
72,सिंहेश्वर,लालपट्टी,46,"प्राथमिक शिक्षक शिक्षा महाविद्यालय सुखासन मनहरा, बायाँ भाग",883,459,424
72,सिंहेश्वर,लालपट्टी,47,"प्राथमिक शिक्षक शिक्षा महाविद्यालय, सुखासन मनहरा, मध्य उत्तर",838,446,392
72,सिंहेश्वर,लालपट्टी,48,"राजकीय बुनियादी अभ्याश विद्यालय, सुखासन, बायाँ भाग",829,425,404
72,सिंहेश्वर,लालपट्टी,49,"राजकीय बुनियादी अभ्याश विद्यालय, सुखासन, दायाँ भाग",851,446,405
72,सिंहेश्वर,मानपुर,5,उत्क्रमित मध्य विद्यालय मानपुर,1138,575,563
72,सिंहेश्वर,सिंहेश्वर,50,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रामपट्टी, पश्चिम भाग बायाँ",1070,572,498
72,सिंहेश्वर,रामपट्टी,51,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रामपट्टी, पुरब भाग बायाँ",737,396,341
72,सिंहेश्वर,रामपट्टी,52,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रामपट्टी, पुरब भाग दायाँ",872,449,423
72,सिंहेश्वर,सिंहेश्वर,53,"उत्क्रमित मध्य विद्यालय, सिंहेश्वर, पश्चिम भाग",1021,515,506
72,सिंहेश्वर,सिंहेश्वर,54,"उत्क्रमित मध्य विद्यालय, सिंहेश्वर, मध्य भाग",1086,571,515
72,सिंहेश्वर,सिंहेश्वर,55,जिला परिषद् डाक बंगला सिंहेश्वर मध्य भाग,1130,612,518
72,सिंहेश्वर,सिंहेश्वर,56,"उत्क्रमित मध्य विद्यालय, सिंहेश्वर, पूरब भाग, बायाँ",1063,548,515
72,सिंहेश्वर,सिंहेश्वर,57,"उत्क्रमित मध्य विद्यालय, सिंहेश्वर पुरब भाग, दायाँ",1096,571,525
72,सिंहेश्वर,लालपुर,58,"उत्क्रमित मध्य विद्यालय, गुरुतारा दायाँ भाग",700,367,333
72,सिंहेश्वर,2-लालपुर,59,"उत्क्रमित मध्य विद्यालय, गुरुतारा बयाँ भाग",707,356,351
72,सिंहेश्वर,महुली,6,"सामुदायिक विकास भवन, मोहली पूरब भाग",1019,509,510
72,सिंहेश्वर,लालपुर,60,"हरावत उच्च विद्यालय, लालपुर पश्चिम भाग बाया",724,370,354
72,सिंहेश्वर,लालपुर,61,"हरावत उच्च विद्यालय, लालपुर पश्चिम भाग दाया",742,389,353
72,सिंहेश्वर,लालपुर,62,"हरावत उच्च विद्यालय, लालपुर पूरब भाग",970,477,493
72,सिंहेश्वर,लालपुर,63,"हरावत उच्च विद्यालय, लालपुर मध्य भाग बाया",1122,581,541
72,सिंहेश्वर,सरोपट्टी,64,"प्राथमिक विद्यालय, सरोपट्टी, बायाँ भाग",851,443,408
72,सिंहेश्वर,सरोपट्टी,65,"प्राथमिक विद्यालय सरोपट्टी, दायाँ भाग",797,440,357
72,सिंहेश्वर,लालपुर,66,"प्राथमिक विद्यालय, लक्ष्मीनियाँ दायाँ भाग",767,393,374
72,सिंहेश्वर,लालपुर,67,"प्राथमिक विद्यालय, लक्ष्मीनियाँ बायाँ भाग",764,390,374
72,सिंहेश्वर,कुम्हार टोला पटोरी,68,"उत्क्रमित मध्य विद्यालय, कुम्हार टोली बाया भाग",697,368,329
72,सिंहेश्वर,गौरीपुर,69,"उत्क्रमित मध्य विद्यालय, कुम्हार टोली दायाँ भाग",625,334,291
72,सिंहेश्वर,कमरगामा,7,"प्राथमिक विद्यालय, सिरसिया दायाँ भाग",737,370,367
72,सिंहेश्वर,सिंहेश्वर,70,"प्राथमिक विद्यालय, गौडीपुर पंडा टोला, दायां भाग",826,429,397
72,सिंहेश्वर,सिंहेश्वर,71,"प्राथमिक विद्यालय, गौडीपुर पंडा टोला, बायां भाग",799,416,383
72,सिंहेश्वर,सिंहेश्वर,72,"प्रोजेक्ट बालिका उच्चतर माध्यमिक विद्यालय, सिंहेश्वर, दायाँ भाग",663,357,306
72,सिंहेश्वर,सिंहेश्वर,73,"प्रोजेक्ट बालिका उच्चतर माध्यमिक विद्यालय, सिंहेश्वर, बायाँ भाग",711,355,356
72,सिंहेश्वर,सिंहेश्वर,74,"प्रोजेक्ट बालिका उच्चतर माध्यमिक विद्यालय, सिंहेश्वर, बायाँ भाग",774,399,375
72,सिंहेश्वर,सिंहेश्वर,75,"कन्या मध्य विद्यालय, सिंहेश्वर गौरीपुर, उत्तर भाग",813,438,375
72,सिंहेश्वर,सिंहेश्वर,76,"कन्या मध्य विद्यालय, सिंहेश्वर, गौरीपुर, दक्षिण भाग बाया",1020,541,479
72,सिंहेश्वर,पटौरी,77,"पंचायत भवन, पटोरी, नया भवन वायाँ भाग",944,488,456
72,सिंहेश्वर,पटौरी,78,"पंचायत भवन, पटोरी, नया भवन दायाँ भाग",1046,565,481
72,सिंहेश्वर,पटौरी,79,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, पटोरी पूरब बायाँ भाग",646,314,332
72,सिंहेश्वर,कमरगामा,8,"प्राथमिक विद्यालय, सिरसिया बायाँ भाग",714,345,369
72,सिंहेश्वर,पटौरी,80,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, पटोरी पूरब दायाँ भाग",617,317,300
72,सिंहेश्वर,पटौरी,81,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, पटोरी, पश्चिम बायाँ भाग",686,336,350
72,सिंहेश्वर,पटौरी,82,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, पटोरी, पश्चिम दायाँ भाग",631,336,295
72,सिंहेश्वर,रामपुर,83,"उत्क्रमित मध्य विदयालय, रामपुर, दायां भाग",870,449,420
72,सिंहेश्वर,रामपुर,84,"उत्क्रमित मध्य विद्यालय, रामपुर, बायां भाग",891,459,432
72,सिंहेश्वर,जजहट,85,"मध्य विद्यालय, जजहट सवैला उत्तर भाग बाया",1000,522,478
72,सिंहेश्वर,जजहट,86,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, जजहट सवैला, दक्षिण भाग",701,347,354
72,सिंहेश्वर,जजहट,87,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, जजहट सवैला, मध्य भाग",660,349,311
72,सिंहेश्वर,झिटकिया,88,"उर्दु प्राथमिक विद्यालय, झिटकिया, पुरब. भाग बाया",957,511,446
72,सिंहेश्वर,झिटकिया,89,"उर्दू प्राथमिक विद्यालय, झिटकिया नया भवन",921,507,414
72,सिंहेश्वर,कमरगामा,9,"मध्य विद्यालय, कमरगामा, दायां भाग",830,429,401
72,सिंहेश्वर,झिटकिया,90,"उर्दू प्राथमिक विद्यालय, झिटकिया, पश्चिम भाग बाया",962,504,458
72,सिंहेश्वर,झिटकिया,91,"उर्दु प्राथमिक विद्यालय, झिटकिया, मध्य भाग",907,469,438
72,सिंहेश्वर,झिटकिया,92,"कन्या उर्दू प्राथमिक विद्यालय, झिटकिया पुरब भाग बाया",1129,591,538
72,सिंहेश्वर,गहुमनी,93,"उत्क्रमित मध्य विद्यालय, मजरहट, दक्षिण भाग",1000,501,499
72,सिंहेश्वर,मजरहट,94,"उत्क्रमित मध्य विद्यालय, मजरहट, उत्तर दायां भाग",1033,549,484
72,सिंहेश्वर,मजरहट,95,"उत्क्रमित मध्य विद्यालय, मजरहट, उत्तर बायां भाग",1000,512,488
72,सिंहेश्वर,गहुमनी,96,"मध्य विद्यालय, गहुमनी, दायाँ भाग",1113,572,541
72,सिंहेश्वर,गहुमनी,97,"मध्य विद्यालय, गहुमनी, बायां भाग",1119,560,559
72,सिंहेश्वर,गहुमनी,98,"उत्क्रमित मध्य विद्यालय, लालापट्टी",843,438,405
72,सिंहेश्वर,गहुमनी,99,"प्राथमिक विद्यालय, एकडरहा, दायां भाग उत्तर",873,441,432
